Stats on top 100 results,,,,,,,,,,
keyword,count,average confidence,max confidence,Hits / 1430172,average confidence of top 10%,meaning,relevant,relative count,relative hits,sample weight
03.04.02,1,0.01446,0.01446,971,0.3351557105,"Cows, calves",,0.01,0.0006789393,
02.09.23,1,0.0186,0.0186,550,0.3351557105,Skulls,,0.01,0.0003845691,
09.01.10,1,0.01857,0.01857,807,0.3351557105,"Ribbons, bows",,0.01,0.0005642678,
29.01.02,1,0.01529,0.01529,9269,0.3351557105,"Yellow, gold",,0.01,0.0064810386,
29.01.05,1,0.02787,0.02787,2703,0.3351557105,Violet,,0.01,0.0018899825,
29.01.07,1,0.01696,0.01696,1980,0.3351557105,Brown,,0.01,0.0013844489,
02.05.08,1,0.01932,0.01932,207,0.3351557105,Children engaging in sport or playing,,0.01,0.0001447378,
26.11.02,1,0.11560027,0.11560027,10785,0.3351557105,Two lines or bands,,0.01,0.007541051,
02.01.24,1,0.01331,0.01331,1966,0.3351557105,Several men,,0.01,0.0013746598,
27.01.08,1,0.02384,0.02384,187,0.3351557105,Letters or numerals forming a plano-convex figure,,0.01,0.0001307535,
02.01.08,1,0.01331,0.01331,2166,0.3351557105,"Acrobats, athletes, dancers, jugglers, nude men, men practising sports, men on bicycle, on motorcycle etc. (except 2.1.2, 2.1.12, 2.1.14, 2.1.20 and 2.1.21)",,0.01,0.0015145032,
26.01.18,1,0.02902,0.02902,9301,0.3351557105,Circles containing one or more letters,,0.01,0.0065034136,
02.03.01,1,0.02244,0.02244,1615,0.3351557105,"Heads, busts",,0.01,0.0011292348,
26.01.24,1,0.01497,0.01497,9702,0.3351557105,Circles with dark surfaces or parts of surfaces,,0.01,0.0067837994,
02.01.16,1,0.01331,0.01331,2887,0.3351557105,Shadows or silhouettes of men,,0.01,0.0020186383,
05.05.22,1,0.01224,0.01224,1148,0.3351557105,"Several flowers (except 5.5.7, 5.5.8, 5.5.18 and 5.5.23)",,0.01,0.0008027007,
03.07.15,1,0.03645,0.03645,302,0.3351557105,"Parrots, budgerigars, toucans, canary",,0.01,0.0002111634,
25.01.06,1,0.0123,0.0123,5762,0.3351557105,"Banderoles, cartouches",,0.01,0.004028886,
26.07.04,1,0.01606,0.01606,3930,0.3351557105,Circles or ellipses with lines (except 26.7.3.),,0.01,0.0027479212,
03.13.01,1,0.0212,0.0212,1687,0.3351557105,Butterflies,,0.01,0.0011795784,
03.01.24,1,0.02146,0.02146,2555,0.3351557105,Animals of Series I stylized,,0.01,0.0017864984,
18.05.01,1,0.01405,0.01405,899,0.3351557105,"Aeroplanes, helicopters",,0.01,0.0006285957,
27.01.12,1,0.01578,0.01578,4352,0.3351557105,Letters or numerals forming a figure in the shape of an arc of a circle,,0.01,0.0030429906,
03.07.19,1,0.0123,0.0123,557,0.3351557105,"Parts of birds, feathers, footprints, skeletons of birds",,0.01,0.0003894636,
14.07.09,1,0.01293,0.01293,307,0.3351557105,"Wedge keys, spanners, screwdrivers",,0.01,0.0002146595,
02.09.22,1,0.0186,0.0186,293,0.3351557105,,,0.01,0.0002048705,
03.03.24,1,0.01932,0.01932,647,0.3351557105,Animals of Series III stylized,,0.01,0.0004523931,
04.05.02,1,0.07385,0.07385,1534,0.3351557105,"Personified objects, combinations of objects representing a personage",,0.01,0.0010725983,
03.13.24,1,0.0212,0.0212,1371,0.3351557105,Insects or spiders stylized,,0.01,0.000958626,
25.07.03,1,0.01628,0.01628,2125,0.3351557105,Surfaces or backgrounds covered with squares or rectangles (except A 25.7.4),,0.01,0.0014858353,
01.03.17,1,0.01529,0.01529,1192,0.3351557105,Sun with rays constituted by triangles,,0.01,0.0008334662,
01.01.02,1,0.02146,0.02146,7465,0.3351557105,One star,,0.01,0.0052196519,
27.99.17,1,0.01353,0.01353,1343,0.3351557105,Letter “Q”,,0.01,0.0009390479,
27.99.10,1,0.01746,0.01746,1442,0.3351557105,Letter “J”,,0.01,0.0010082703,
27.99.11,1,0.02065,0.02065,2860,0.3351557105,Letter “K”,,0.01,0.0019997595,
27.99.19,1,0.03897,0.03897,7412,0.3351557105,Letter “S”,,0.01,0.0051825934,
02.03.24,1,0.02244,0.02244,205,0.3351557105,Several women,,0.01,0.0001433394,
03.09.06,1,0.01773,0.01773,97,0.3351557105,"Ornamental fish, goldfish",,0.01,0.000067824,
02.03.23,1,0.02244,0.02244,855,0.3351557105,Women stylized,,0.01,0.0005978302,
03.01.08,1,0.02146,0.02146,2965,0.3351557105,"Dogs, wolves, foxes",,0.01,0.0020731772,
01.15.21,1,0.02297,0.02297,3665,0.3351557105,"Bubbles, frothy masses, speech bubbles",,0.01,0.0025626288,
01.15.23,1,0.01529,0.01529,1885,0.3351557105,"Vortices, rotary movements, tornadoes",,0.01,0.0013180233,
27.99.07,1,0.02749,0.02749,4461,0.3351557105,Letter “G”,,0.01,0.0031192052,
27.05.07,1,0.02543,0.02543,6854,0.3351557105,Letters surmounted by a sign of disproportionate size,,0.01,0.0047924306,
03.03.01,1,0.01932,0.01932,1765,0.3351557105,"Horses, mules",,0.01,0.0012341173,
01.05.24,1,0.01207,0.01207,1593,0.3351557105,Saturn,,0.01,0.001113852,
03.11.07,1,0.01429,0.01429,232,0.3351557105,"Snails, slugs",,0.01,0.0001622183,
03.07.05,1,0.02101,0.02101,387,0.3351557105,Owls,,0.01,0.0002705968,
24.17.20,1,0.0163,0.0163,1400,0.3351557105,Check sign,,0.01,0.0009789032,
,,,,,,,,0,0,
Taekwon-Do Globe,,,,,,,,0,0,
24.03.07,23,0.0993449442,0.149770288,7303,0.2307528835,"Seals or stamps, circular",,0.23,0.0051063788,
27.01.06,23,0.1421524714,0.9999857,1409,0.2307528835,Letters or numerals forming a circle or a circumference,1,0.23,0.0009851962,
25.07.06,16,0.089379375,0.1431,2236,0.2307528835,Surfaces or backgrounds covered with circles or ellipses,,0.16,0.0015634483,
27.01.12,12,0.1064582542,0.155231556,4352,0.2307528835,Letters or numerals forming a figure in the shape of an arc of a circle,,0.12,0.0030429906,
01.05.02,8,0.2307026404,0.9999857,3213,0.2307528835,Terrestrial globes with representation solely of meridians and parallels,1,0.08,0.0022465829,
26.01.03,8,0.1212018962,0.155231556,30880,0.2307528835,One circle,,0.08,0.0215918085,
25.07.07,8,0.10163125,0.1387,1297,0.2307528835,"Surfaces or backgrounds covered with dots, spickled, recycled paper-like surfaces",,0.08,0.0009068839,
02.01.03,6,0.1010289737,0.1227998644,322,0.2307528835,"Religious figures, men wearing a robe or a toga",,0.06,0.0002251477,
01.05.06,5,0.1052681537,0.137929594,1786,0.2307528835,Terrestrial globe with a banderole or an inscription,,0.05,0.0012488008,
28.03,5,0.1136614913,0.1311919312,6290,0.2307528835,INSCRIPTIONS IN CHINESE OR JAPANESE CHARACTERS,,0.05,0.0043980724,
26.01.96,5,0.08638,0.1046,3055,0.2307528835,More than three circles juxtaposed,,0.05,0.0021361067,
01.05.01,4,0.0933787129,0.1105,2852,0.2307528835,Terrestrial globes,,0.04,0.0019941657,
24.01.18,4,0.1088087487,0.12552003,1767,0.2307528835,Shields surmounted by figurative elements or inscriptions,,0.04,0.0012355157,
24.09.02,4,0.0991254274,0.1085143456,2708,0.2307528835,Crowns open at the top,,0.04,0.0018934785,
01.03.02,4,0.081085,0.09225,3351,0.2307528835,"Other representations of the sun, suns stylized",,0.04,0.0023430748,
01.03.17,4,0.1033637741,0.12552003,1192,0.2307528835,Sun with rays constituted by triangles,,0.04,0.0008334662,
05.05.20,4,0.0900997559,0.103797683,7099,0.2307528835,Stylized flowers,,0.04,0.0049637386,
05.05.21,4,0.0933253352,0.1167,7200,0.2307528835,One flower,,0.04,0.0050343595,
05.13.04,4,0.090354341,0.1070667244,1208,0.2307528835,"Crossed branches, Caesar’s crown",,0.04,0.0008446537,
01.01.99,3,0.1161290943,0.166997283,6653,0.2307528835,Stars with five points,,0.03,0.004651888,
26.15.99,3,0.09907,0.1076,5591,0.2307528835,One sphere,,0.03,0.00390932,
24.03.18,3,0.0942717237,0.1157,2420,0.2307528835,Seals or stamps with inscriptions,,0.03,0.0016921042,
05.07.10,3,0.1086184312,0.135821248,942,0.2307528835,Grapes (single specimens or bunches),,0.03,0.000658662,
05.05.19,3,0.0922620289,0.1061,2477,0.2307528835,"Other flowers, blossoms; flowers or blossoms of trees (cherry trees, peach trees, apple trees) and of bushes; flowers of protea and strelitzia, petals",,0.03,0.0017319595,
24.01.10,3,0.1001558604,0.12058325,390,0.2307528835,Shields containing representations of plants,,0.03,0.0002726945,
07.01.06,3,0.1004761433,0.12058325,709,0.2307528835,"Towers or masts, derricks (except 7.1.16), transmitting masts",,0.03,0.0004957446,
24.01.05,3,0.0967167744,0.1130450665,1787,0.2307528835,Shields containing other figurative elements or inscriptions,,0.03,0.0012495001,
20.07.02,3,0.1007833433,0.12552003,871,0.2307528835,"Books, magazines, newspapers",,0.03,0.0006090177,
26.01.05,3,0.0908883726,0.0990982192,2949,0.2307528835,"More than two circles, inside one another, spirals",,0.03,0.0020619897,
14.05.01,3,0.09267506,0.10119518,551,0.2307528835,"Keys, part of keys",,0.03,0.0003852683,
03.01.02,3,0.0936931704,0.103797683,1435,0.2307528835,Heraldic lions,,0.03,0.0010033758,
24.01.09,3,0.1001558604,0.12058325,1032,0.2307528835,Shields containing representations of animals or parts of animals' bodies,,0.03,0.0007215915,
03.11.03,3,0.0977005698,0.1085143456,414,0.2307528835,Serpent(s) and staff (symbol of medicine),,0.03,0.0002894757,
26.15.97,2,0.094005,0.102,1883,0.2307528835,Sphere with inscription,,0.02,0.0013166249,
01.13.01,2,0.09057734,0.10609468,2989,0.2307528835,"Armillary spheres, planetaria, astronomic orbits, atomic models, molecular models",,0.02,0.0020899584,
26.05.01,2,0.0871834494,0.0984768987,3453,0.2307528835,One polygon,,0.02,0.0024143949,
24.17.08,2,0.1051844984,0.111892098,882,0.2307528835,Symbol of infinity,,0.02,0.000616709,
24.05.02,2,0.1070387824,0.1227998644,240,0.2307528835,One medal or coin with the representation of a human head or a human being,,0.02,0.000167812,
15.07.09,2,0.0987485333,0.1043870666,1160,0.2307528835,"Other wheels, with or without spokes",,0.02,0.0008110913,
15.07.01,2,0.0754124748,0.077517376,1322,0.2307528835,"Cog wheels, wheel cogs",,0.02,0.0009243643,
24.01.13,2,0.1008033391,0.12552003,737,0.2307528835,Shields containing other figurative elements,,0.02,0.0005153226,
07.01.99,2,0.099605,0.1034,150,0.2307528835,Heraldic castles,,0.02,0.0001048825,
24.09.01,2,0.1008033391,0.12552003,1858,0.2307528835,Crowns closed at the top (by cap of estate or chapeau),,0.02,0.0012991444,
25.07.21,2,0.117195144,0.149770288,4583,0.2307528835,Surfaces or backgrounds covered with straight lines or bands,,0.02,0.0032045097,
02.01.24,2,0.097271906,0.110493812,1966,0.2307528835,Several men,,0.02,0.0013746598,
26.11.09,2,0.0915484494,0.0984768987,5044,0.2307528835,Oblique lines or bands,,0.02,0.0035268485,
01.15.15,2,0.0954217917,0.1096135834,6098,0.2307528835,Drops,,0.02,0.0042638228,
02.09.18,2,0.12411923,0.1311919312,317,0.2307528835,Fists,,0.02,0.0002216517,
29.01.98,2,0.08315,0.09132,10164,0.2307528835,Orange,,0.02,0.0071068375,
02.09.15,2,0.1047960156,0.110493812,867,0.2307528835,Open hands (palm or back),,0.02,0.0006062208,
26.01.24,2,0.089845,0.1046,9702,0.2307528835,Circles with dark surfaces or parts of surfaces,,0.02,0.0067837994,
25.01.05,2,0.117610015,0.12552003,1624,0.2307528835,Ornamental bands and borders (except 25.1.9),,0.02,0.0011355278,
03.07.17,2,0.0907483622,0.1070667244,2132,0.2307528835,"Wings, stylized or not",,0.02,0.0014907298,
02.09.04,2,0.08044,0.0815,2298,0.2307528835,"Eyes, iris",,0.02,0.0016067997,
05.13.25,2,0.0909321728,0.1085143456,1287,0.2307528835,Other decorations made of plants,,0.02,0.0008998918,
02.01.01,2,0.0956206987,0.0966481464,3806,0.2307528835,"Heads, busts",,0.02,0.0026612184,
24.15.01,2,0.105328657,0.129427314,5839,0.2307528835,One arrow,,0.02,0.0040827257,
24.15.02,2,0.1344478742,0.155231556,2666,0.2307528835,Two arrows,,0.02,0.0018641114,
01.11.08,2,0.100987724,0.1136641924,1409,0.2307528835,"Stars grouped in circles, ovals or other geometrical figures",,0.02,0.0009851962,
05.05.22,2,0.0921418848,0.103797683,1148,0.2307528835,"Several flowers (except 5.5.7, 5.5.8, 5.5.18 and 5.5.23)",,0.02,0.0008027007,
25.07.25,2,0.075475,0.07589,1397,0.2307528835,Surfaces or backgrounds covered with other repeated figurative elements,,0.02,0.0009768056,
03.01.16,2,0.1303286415,0.166997283,2635,0.2307528835,Heads of animals of Series I,,0.02,0.0018424357,
21.03.21,1,0.07297,0.07297,1445,0.2307528835,Targets,,0.01,0.001010368,
24.15.13,1,0.093,0.093,3643,0.2307528835,"Arrows forming a circle, an arc of a circle or a ring",,0.01,0.0025472461,
24.15.11,1,0.129427314,0.129427314,1181,0.2307528835,Arrows combined with any other figurative element (except A 24.15.13 and A 24.15.15),,0.01,0.0008257748,
24.11.05,1,0.1112874006,0.1112874006,39,0.2307528835,,,0.01,2.72694473112325E-005,
03.09.24,1,0.0805167565,0.0805167565,1715,0.2307528835,Animals of division 3.9 stylized,,0.01,0.0011991565,
26.04.02,1,0.09132,0.09132,34538,0.2307528835,Rectangles,,0.01,0.0241495429,
26.04.05,1,0.09132,0.09132,45824,0.2307528835,One quadrilateral,,0.01,0.0320409014,
05.07.02,1,0.0805167565,0.0805167565,2399,0.2307528835,"Ears of cereals (wheat, rye, barley, etc.), ears of maize, ears of sorghum &amp; panicles",,0.01,0.0016774206,
03.01.24,1,0.166997283,0.166997283,2555,0.2307528835,Animals of Series I stylized,,0.01,0.0017864984,
05.03.13,1,0.0990982192,0.0990982192,8293,0.2307528835,Stylized leaves,,0.01,0.0057986032,
05.03.14,1,0.0990982192,0.0990982192,4980,0.2307528835,One leaf,,0.01,0.0034820987,
26.05.09,1,0.0984768987,0.0984768987,164,0.2307528835,Polygons containing one or more circles or ellipses (specify the content),,0.01,0.0001146715,
24.13.04,1,0.103797683,0.103797683,203,0.2307528835,Maltese cross,,0.01,0.000141941,
24.13.01,1,0.07965,0.07965,2347,0.2307528835,"Greek cross, St. Andrew's cross",,0.01,0.0016410614,
05.05.02,1,0.103797683,0.103797683,719,0.2307528835,Lilies,,0.01,0.0005027367,
24.11.13,1,0.1112874006,0.1112874006,33,0.2307528835,,,0.01,2.3074147724889E-005,
24.09.21,1,0.0775206394,0.0775206394,359,0.2307528835,Crowns with representations of animals or parts of animals' bodies,,0.01,0.0002510188,
26.04.10,1,0.09132,0.09132,5095,0.2307528835,"Quadrilaterals containing one or more circles, ellipses or polygons (specify the content)",,0.01,0.0035625086,
08.07.01,1,0.0883112556,0.0883112556,635,0.2307528835,"Soups or beverages (in plates, in cups, in bowls, in soup tureens, in glasses, etc.), liquids being poured out",,0.01,0.0004440025,
05.03.20,1,0.07965,0.07965,1393,0.2307528835,"Other branches with leaves, with or without fruit",,0.01,0.0009740087,
21.03.01,1,0.0776316928,0.0776316928,812,0.2307528835,"Footballs and other balls, shuttlecocks",,0.01,0.0005677639,
09.07.25,1,0.1070667244,0.1070667244,555,0.2307528835,"Other headwear, indian feathers",,0.01,0.0003880652,
05.05.16,1,0.1097,0.1097,488,0.2307528835,Lotus flowers,,0.01,0.0003412177,
15.07.07,1,0.077517376,0.077517376,149,0.2307528835,"Ships' wheels, capstans, paddle wheels",,0.01,0.0001041833,
24.09.13,1,0.0760866481,0.0760866481,890,0.2307528835,Crowns surmounted with a cross.,,0.01,0.0006223028,
05.07.21,1,0.1061,0.1061,306,0.2307528835,"Other fruits (except 5.7.9), cotton bolls, pomegranates",,0.01,0.0002139603,
09.01.07,1,0.103797683,0.103797683,716,0.2307528835,"Laces, braids, tapes, cords, ropes",,0.01,0.0005006391,
16.01.16,1,0.1043870666,0.1043870666,504,0.2307528835,"Discs, CDs, DVDs for sound, image and data recording and reproduction; sleeves and boxes for discs",,0.01,0.0003524052,
26.04.24,1,0.09132,0.09132,18811,0.2307528835,Quadrilaterals with dark surfaces or parts of surfaces,,0.01,0.0131529634,
26.04.22,1,0.09132,0.09132,30432,0.2307528835,Quadrilaterals containing other inscriptions,,0.01,0.0212785595,
27.05.14,1,0.07443,0.07443,4444,0.2307528835,Letters repeated by mirror effect or symmetrically in any position,,0.01,0.0031073186,
26.13.25,1,0.07944,0.07944,5182,0.2307528835,"Other geometrical figures, indefinable designs",,0.01,0.0036233404,
25.07.08,1,0.07944,0.07944,697,0.2307528835,Surfaces or backgrounds covered with other repeated geometrical figures or designs,,0.01,0.000487354,
26.11.98,1,0.0984768987,0.0984768987,6782,0.2307528835,More than three lines,,0.01,0.004742087,
02.01.95,1,0.08405,0.08405,2661,0.2307528835,Stylized men formed by curved lines,,0.01,0.0018606154,
07.01.01,1,0.08102,0.08102,1221,0.2307528835,"Castles, fortresses, crenellated walls, palaces",,0.01,0.0008537435,
21.03.99,1,0.08508,0.08508,607,0.2307528835,Shuttlecocks and other balls,,0.01,0.0004244245,
21.03.98,1,0.0776316928,0.0776316928,292,0.2307528835,Golf balls,,0.01,0.0002041712,
24.15.03,1,0.1096135834,0.1096135834,1696,0.2307528835,More than two arrows,,0.01,0.0011858713,
03.04.02,1,0.0883112556,0.0883112556,971,0.2307528835,"Cows, calves",,0.01,0.0006789393,
02.09.25,1,0.116860159,0.116860159,1191,0.2307528835,,,0.01,0.000832767,
02.09.23,1,0.07443,0.07443,550,0.2307528835,Skulls,,0.01,0.0003845691,
29.01.01,1,0.08591,0.08591,28169,0.2307528835,"Red, pink, orange",,0.01,0.0196962323,
29.01.02,1,0.07498,0.07498,9269,0.2307528835,"Yellow, gold",,0.01,0.0064810386,
29.01.03,1,0.09132,0.09132,16199,0.2307528835,Green,,0.01,0.0113266097,
09.09.11,1,0.09366,0.09366,147,0.2307528835,"Sports footwear, ski boots",,0.01,0.0001027848,
29.01.06,1,0.09132,0.09132,10048,0.2307528835,"White, grey, silver",,0.01,0.0070257284,
24.01.03,1,0.0760866481,0.0760866481,1863,0.2307528835,"Shields containing representations of geometrical figures or solids, lines, bands or partitions",,0.01,0.0013026405,
26.11.01,1,0.1096135834,0.1096135834,16823,0.2307528835,One line or one band,,0.01,0.0117629208,
02.01.23,1,0.110493812,0.110493812,4945,0.2307528835,Other stylized men,,0.01,0.0034576261,
